Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,R5-0,50.710,+,0.5000,,88.5,88.5,023,NN,NFM,10.00,,,,,,
1,R5-1,50.720,+,0.5000,,88.5,88.5,023,NN,NFM,10.00,,,,,,
2,R5-2,50.730,+,0.5000,,88.5,88.5,023,NN,NFM,10.00,,,,,,
3,R5-3,50.740,+,0.5000,,88.5,88.5,023,NN,NFM,10.00,,,,,,
4,R5-4,50.750,+,0.5000,,88.5,88.5,023,NN,NFM,10.00,,,,,,
5,R5-5,50.760,+,0.5000,,88.5,88.5,023,NN,NFM,10.00,,,,,,
6,R5-6,50.770,+,0.5000,,88.5,88.5,023,NN,NFM,10.00,,,,,,
7,R5-7,50.780,+,0.5000,,88.5,88.5,023,NN,NFM,10.00,,,,,,
8,R5-8,50.790,+,0.5000,,88.5,88.5,023,NN,NFM,10.00,,,,,,
9,R5-9,50.800,+,0.5000,,88.5,88.5,023,NN,NFM,10.00,,,,,,
10,R5-10,50.810,+,0.5000,,88.5,88.5,023,NN,NFM,10.00,,,,,,
11,R5-11,50.820,+,0.5000,,88.5,88.5,023,NN,NFM,10.00,,,,,,
12,R5-12,50.830,+,0.5000,,88.5,88.5,023,NN,NFM,10.00,,,,,,
13,R5-13,50.840,+,0.5000,,88.5,88.5,023,NN,NFM,10.00,,,,,,
14,R5-14,50.850,+,0.5000,,88.5,88.5,023,NN,NFM,10.00,,,,,,
15,R5-15,50.860,+,0.5000,,88.5,88.5,023,NN,NFM,10.00,,,,,,
16,R5-16,50.870,+,0.5000,,88.5,88.5,023,NN,NFM,10.00,,,,,,
17,R5-17,50.880,+,0.5000,,88.5,88.5,023,NN,NFM,10.00,,,,,,
18,R5-18,50.890,+,0.5000,,88.5,88.5,023,NN,NFM,10.00,,,,,,
